timeframe,group,segment,year,category,metric,value
full-year,hunt,All,2009,All,participants,195557
full-year,hunt,All,2010,All,participants,206059
full-year,hunt,All,2011,All,participants,210994
full-year,hunt,All,2012,All,participants,205261
full-year,hunt,All,2013,All,participants,212412
full-year,hunt,All,2014,All,participants,209335
full-year,hunt,All,2015,All,participants,207604
full-year,hunt,All,2016,All,participants,200581
full-year,hunt,All,2017,All,participants,198611
full-year,hunt,All,2018,All,participants,194206
full-year,hunt,Residency,2009,Resident,participants,173452
full-year,hunt,Residency,2010,Resident,participants,184225
full-year,hunt,Residency,2011,Resident,participants,189029
full-year,hunt,Residency,2012,Resident,participants,184084
full-year,hunt,Residency,2013,Resident,participants,190692
full-year,hunt,Residency,2014,Resident,participants,186310
full-year,hunt,Residency,2015,Resident,participants,184715
full-year,hunt,Residency,2016,Resident,participants,178467
full-year,hunt,Residency,2017,Resident,participants,176895
full-year,hunt,Residency,2018,Resident,participants,172472
full-year,hunt,Residency,2009,Nonresident,participants,22105
full-year,hunt,Residency,2010,Nonresident,participants,21834
full-year,hunt,Residency,2011,Nonresident,participants,21965
full-year,hunt,Residency,2012,Nonresident,participants,21177
full-year,hunt,Residency,2013,Nonresident,participants,21720
full-year,hunt,Residency,2014,Nonresident,participants,23025
full-year,hunt,Residency,2015,Nonresident,participants,22889
full-year,hunt,Residency,2016,Nonresident,participants,22114
full-year,hunt,Residency,2017,Nonresident,participants,21716
full-year,hunt,Residency,2018,Nonresident,participants,21734
full-year,hunt,Gender,2009,Male,participants,181023
full-year,hunt,Gender,2010,Male,participants,188894
full-year,hunt,Gender,2011,Male,participants,191404
full-year,hunt,Gender,2012,Male,participants,185642
full-year,hunt,Gender,2013,Male,participants,191303
full-year,hunt,Gender,2014,Male,participants,188288
full-year,hunt,Gender,2015,Male,participants,185911
full-year,hunt,Gender,2016,Male,participants,179522
full-year,hunt,Gender,2017,Male,participants,176662
full-year,hunt,Gender,2018,Male,participants,172852
full-year,hunt,Gender,2009,Female,participants,14534
full-year,hunt,Gender,2010,Female,participants,17165
full-year,hunt,Gender,2011,Female,participants,19590
full-year,hunt,Gender,2012,Female,participants,19619
full-year,hunt,Gender,2013,Female,participants,21109
full-year,hunt,Gender,2014,Female,participants,21047
full-year,hunt,Gender,2015,Female,participants,21693
full-year,hunt,Gender,2016,Female,participants,21059
full-year,hunt,Gender,2017,Female,participants,21949
full-year,hunt,Gender,2018,Female,participants,21354
full-year,hunt,Age,2009,18-24,participants,21403
full-year,hunt,Age,2010,18-24,participants,23178
full-year,hunt,Age,2011,18-24,participants,24129
full-year,hunt,Age,2012,18-24,participants,24021
full-year,hunt,Age,2013,18-24,participants,25697
