region,state,quarter,group,metric,segment,year,category,value,aggregation,value_type,"segment == ""residency"""
Southeast,Southeast,4,all_sports,participants,age,2009,18-24,414306.05849164963,SUM,total,NA
Southeast,Southeast,4,all_sports,participants,age,2009,25-34,681186.6039244822,SUM,total,NA
Southeast,Southeast,4,all_sports,participants,age,2009,35-44,827309.9194947856,SUM,total,NA
Southeast,Southeast,4,all_sports,participants,age,2009,45-54,894455.2166979653,SUM,total,NA
Southeast,Southeast,4,all_sports,participants,age,2009,55-64,674375.2013911173,SUM,total,NA
Southeast,Southeast,4,all_sports,participants,age,2010,18-24,430370.8505676588,SUM,total,NA
Southeast,Southeast,4,all_sports,participants,age,2010,25-34,701527.7920727461,SUM,total,NA
Southeast,Southeast,4,all_sports,participants,age,2010,35-44,837155.0942201571,SUM,total,NA
Southeast,Southeast,4,all_sports,participants,age,2010,45-54,923622.7593477403,SUM,total,NA
Southeast,Southeast,4,all_sports,participants,age,2010,55-64,711973.5037916978,SUM,total,NA
Southeast,Southeast,4,all_sports,participants,age,2011,18-24,448889.4670259057,SUM,total,NA
Southeast,Southeast,4,all_sports,participants,age,2011,25-34,722719.452714343,SUM,total,NA
Southeast,Southeast,4,all_sports,participants,age,2011,35-44,835037.3408787964,SUM,total,NA
Southeast,Southeast,4,all_sports,participants,age,2011,45-54,935941.3354506332,SUM,total,NA
Southeast,Southeast,4,all_sports,participants,age,2011,55-64,734643.4039303218,SUM,total,NA
Southeast,Southeast,4,all_sports,participants,age,2012,18-24,469844.10699465044,SUM,total,NA
Southeast,Southeast,4,all_sports,participants,age,2012,25-34,739617.1473834084,SUM,total,NA
Southeast,Southeast,4,all_sports,participants,age,2012,35-44,836559.6241446729,SUM,total,NA
Southeast,Southeast,4,all_sports,participants,age,2012,45-54,941295.3342130106,SUM,total,NA
Southeast,Southeast,4,all_sports,participants,age,2012,55-64,754176.7872642577,SUM,total,NA
Southeast,Southeast,4,all_sports,participants,age,2013,18-24,499185.5158482234,SUM,total,NA
Southeast,Southeast,4,all_sports,participants,age,2013,25-34,774951.875413992,SUM,total,NA
Southeast,Southeast,4,all_sports,participants,age,2013,35-44,846302.3744245002,SUM,total,NA
Southeast,Southeast,4,all_sports,participants,age,2013,45-54,963174.6199533876,SUM,total,NA
Southeast,Southeast,4,all_sports,participants,age,2013,55-64,789617.614359897,SUM,total,NA
Southeast,Southeast,4,all_sports,participants,age,2014,18-24,517748.44716713484,SUM,total,NA
Southeast,Southeast,4,all_sports,participants,age,2014,25-34,808893.3261202124,SUM,total,NA
Southeast,Southeast,4,all_sports,participants,age,2014,35-44,860827.2672702324,SUM,total,NA
Southeast,Southeast,4,all_sports,participants,age,2014,45-54,981231.9207159347,SUM,total,NA
Southeast,Southeast,4,all_sports,participants,age,2014,55-64,822388.0387264856,SUM,total,NA
Southeast,Southeast,4,all_sports,participants,age,2015,18-24,510011.44716713484,SUM,total,NA
Southeast,Southeast,4,all_sports,participants,age,2015,25-34,805473.3261202124,SUM,total,NA
Southeast,Southeast,4,all_sports,participants,age,2015,35-44,844647.2672702324,SUM,total,NA
Southeast,Southeast,4,all_sports,participants,age,2015,45-54,974350.9207159347,SUM,total,NA
Southeast,Southeast,4,all_sports,participants,age,2015,55-64,830586.0387264856,SUM,total,NA
Southeast,Southeast,4,all_sports,participants,age,2016,18-24,501958.44716713484,SUM,total,NA
Southeast,Southeast,4,all_sports,participants,age,2016,25-34,800918.3261202124,SUM,total,NA
Southeast,Southeast,4,all_sports,participants,age,2016,35-44,831302.2672702324,SUM,total,NA
Southeast,Southeast,4,all_sports,participants,age,2016,45-54,964679.9207159347,SUM,total,NA
Southeast,Southeast,4,all_sports,participants,age,2016,55-64,834169.0387264856,SUM,total,NA
Southeast,Southeast,4,all_sports,participants,age,2017,18-24,489375.44716713484,SUM,total,NA
Southeast,Southeast,4,all_sports,participants,age,2017,25-34,785695.3261202124,SUM,total,NA
Southeast,Southeast,4,all_sports,participants,age,2017,35-44,821185.2672702324,SUM,total,NA
Southeast,Southeast,4,all_sports,participants,age,2017,45-54,954590.9207159347,SUM,total,NA
Southeast,Southeast,4,all_sports,participants,age,2017,55-64,835479.0387264856,SUM,total,NA
Southeast,Southeast,4,all_sports,participants,age,2018,18-24,475929.44716713484,SUM,total,NA
Southeast,Southeast,4,all_sports,participants,age,2018,25-34,768158.3261202124,SUM,total,NA
Southeast,Southeast,4,all_sports,participants,age,2018,35-44,804537.2672702324,SUM,total,NA
Southeast,Southeast,4,all_sports,participants,age,2018,45-54,933134.9207159347,SUM,total,NA
Southeast,Southeast,4,all_sports,participants,age,2018,55-64,831303.0387264856,SUM,total,NA
Southeast,Southeast,4,all_sports,participants,all,2009,all,3491632,SUM,total,NA
Southeast,Southeast,4,all_sports,participants,all,2010,all,3604650,SUM,total,NA
Southeast,Southeast,4,all_sports,participants,all,2011,all,3677229,SUM,total,NA
Southeast,Southeast,4,all_sports,participants,all,2012,all,3741492,SUM,total,NA
Southeast,Southeast,4,all_sports,participants,all,2013,all,3873231,SUM,total,NA
Southeast,Southeast,4,all_sports,participants,all,2014,all,3991088,SUM,total,NA
Southeast,Southeast,4,all_sports,participants,all,2015,all,3965072,SUM,total,NA
Southeast,Southeast,4,all_sports,participants,all,2016,all,3933030,SUM,total,NA
Southeast,Southeast,4,all_sports,participants,all,2017,all,3886327,SUM,total,NA
Southeast,Southeast,4,all_sports,participants,all,2018,all,3813065,SUM,total,NA
Southeast,Southeast,4,all_sports,participants,gender,2009,female,686840,SUM,total,NA
Southeast,Southeast,4,all_sports,participants,gender,2009,male,2804792,SUM,total,NA
Southeast,Southeast,4,all_sports,participants,gender,2010,female,709552,SUM,total,NA
Southeast,Southeast,4,all_sports,participants,gender,2010,male,2895098,SUM,total,NA
Southeast,Southeast,4,all_sports,participants,gender,2011,female,745841,SUM,total,NA
Southeast,Southeast,4,all_sports,participants,gender,2011,male,2931388,SUM,total,NA
Southeast,Southeast,4,all_sports,participants,gender,2012,female,773174,SUM,total,NA
Southeast,Southeast,4,all_sports,participants,gender,2012,male,2968318,SUM,total,NA
Southeast,Southeast,4,all_sports,participants,gender,2013,female,812609,SUM,total,NA
Southeast,Southeast,4,all_sports,participants,gender,2013,male,3060622,SUM,total,NA
Southeast,Southeast,4,all_sports,participants,gender,2014,female,859752,SUM,total,NA
Southeast,Southeast,4,all_sports,participants,gender,2014,male,3131336,SUM,total,NA
Southeast,Southeast,4,all_sports,participants,gender,2015,female,854912,SUM,total,NA
Southeast,Southeast,4,all_sports,participants,gender,2015,male,3110160,SUM,total,NA
Southeast,Southeast,4,all_sports,participants,gender,2016,female,851550,SUM,total,NA
Southeast,Southeast,4,all_sports,participants,gender,2016,male,3081480,SUM,total,NA
Southeast,Southeast,4,all_sports,participants,gender,2017,female,839097,SUM,total,NA
Southeast,Southeast,4,all_sports,participants,gender,2017,male,3047230,SUM,total,NA
Southeast,Southeast,4,all_sports,participants,gender,2018,female,817146,SUM,total,NA
Southeast,Southeast,4,all_sports,participants,gender,2018,male,2995919,SUM,total,NA
Southeast,Southeast,4,all_sports,participants,residency,2009,nonresident,578258,SUM,total,NA
Southeast,Southeast,4,all_sports,participants,residency,2009,resident,2913374,SUM,total,NA
Southeast,Southeast,4,all_sports,participants,residency,2010,nonresident,720001,SUM,total,NA
Southeast,Southeast,4,all_sports,participants,residency,2010,resident,2884649,SUM,total,NA
Southeast,Southeast,4,all_sports,participants,residency,2011,nonresident,737940,SUM,total,NA
Southeast,Southeast,4,all_sports,participants,residency,2011,resident,2939289,SUM,total,NA
Southeast,Southeast,4,all_sports,participants,residency,2012,nonresident,767620,SUM,total,NA
Southeast,Southeast,4,all_sports,participants,residency,2012,resident,2973872,SUM,total,NA
Southeast,Southeast,4,all_sports,participants,residency,2013,nonresident,820908,SUM,total,NA
Southeast,Southeast,4,all_sports,participants,residency,2013,resident,3052323,SUM,total,NA
Southeast,Southeast,4,all_sports,participants,residency,2014,nonresident,846748,SUM,total,NA
Southeast,Southeast,4,all_sports,participants,residency,2014,resident,3144340,SUM,total,NA
Southeast,Southeast,4,all_sports,participants,residency,2015,nonresident,851195,SUM,total,NA
Southeast,Southeast,4,all_sports,participants,residency,2015,resident,3113877,SUM,total,NA
Southeast,Southeast,4,all_sports,participants,residency,2016,nonresident,848980,SUM,total,NA
Southeast,Southeast,4,all_sports,participants,residency,2016,resident,3084050,SUM,total,NA
Southeast,Southeast,4,all_sports,participants,residency,2017,nonresident,846862,SUM,total,NA
Southeast,Southeast,4,all_sports,participants,residency,2017,resident,3039465,SUM,total,NA
Southeast,Southeast,4,all_sports,participants,residency,2018,nonresident,838542,SUM,total,NA
Southeast,Southeast,4,all_sports,participants,residency,2018,resident,2974523,SUM,total,NA
Southeast,Southeast,4,all_sports,participants - recruited,age,2014,18-24,208192.3263519303,SUM,total,NA
