timeframe,group,segment,year,category,metric,value,state
full-year,hunt,all,2009,all,participants,572852,WI
full-year,hunt,all,2010,all,participants,559638,WI
full-year,hunt,all,2011,all,participants,556061,WI
full-year,hunt,all,2012,all,participants,561974,WI
full-year,hunt,all,2013,all,participants,557788,WI
full-year,hunt,all,2014,all,participants,539525,WI
full-year,hunt,all,2015,all,participants,541414,WI
full-year,hunt,residency,2009,resident,participants,528512,WI
full-year,hunt,residency,2010,resident,participants,517585,WI
full-year,hunt,residency,2011,resident,participants,514275,WI
full-year,hunt,residency,2012,resident,participants,519605,WI
full-year,hunt,residency,2013,resident,participants,514512,WI
full-year,hunt,residency,2014,resident,participants,498401,WI
full-year,hunt,residency,2015,resident,participants,498773,WI
full-year,hunt,residency,2009,nonresident,participants,44340,WI
full-year,hunt,residency,2010,nonresident,participants,42053,WI
full-year,hunt,residency,2011,nonresident,participants,41786,WI
full-year,hunt,residency,2012,nonresident,participants,42369,WI
full-year,hunt,residency,2013,nonresident,participants,43276,WI
full-year,hunt,residency,2014,nonresident,participants,41124,WI
full-year,hunt,residency,2015,nonresident,participants,42641,WI
full-year,hunt,gender,2009,male,participants,524910,WI
full-year,hunt,gender,2010,male,participants,511692,WI
full-year,hunt,gender,2011,male,participants,506798,WI
full-year,hunt,gender,2012,male,participants,508519,WI
full-year,hunt,gender,2013,male,participants,503153,WI
full-year,hunt,gender,2014,male,participants,484845,WI
full-year,hunt,gender,2015,male,participants,483375,WI
full-year,hunt,gender,2009,female,participants,47942,WI
full-year,hunt,gender,2010,female,participants,47946,WI
full-year,hunt,gender,2011,female,participants,49263,WI
full-year,hunt,gender,2012,female,participants,53455,WI
full-year,hunt,gender,2013,female,participants,54635,WI
full-year,hunt,gender,2014,female,participants,54680,WI
full-year,hunt,gender,2015,female,participants,58039,WI
full-year,hunt,age,2009,18-24,participants,77325,WI
full-year,hunt,age,2010,18-24,participants,75117,WI
full-year,hunt,age,2011,18-24,participants,73975,WI
full-year,hunt,age,2012,18-24,participants,75202,WI
full-year,hunt,age,2013,18-24,participants,75482,WI
full-year,hunt,age,2014,18-24,participants,72423,WI
full-year,hunt,age,2015,18-24,participants,71333,WI
full-year,hunt,age,2009,25-34,participants,108820,WI
full-year,hunt,age,2010,25-34,participants,108085,WI
full-year,hunt,age,2011,25-34,participants,109040,WI
full-year,hunt,age,2012,25-34,participants,112162,WI
full-year,hunt,age,2013,25-34,participants,113267,WI
full-year,hunt,age,2014,25-34,participants,110701,WI
full-year,hunt,age,2015,25-34,participants,111838,WI
full-year,hunt,age,2009,35-44,participants,128312,WI
full-year,hunt,age,2010,35-44,participants,120371,WI
full-year,hunt,age,2011,35-44,participants,115244,WI
full-year,hunt,age,2012,35-44,participants,113336,WI
full-year,hunt,age,2013,35-44,participants,110575,WI
full-year,hunt,age,2014,35-44,participants,105847,WI
full-year,hunt,age,2015,35-44,participants,105107,WI
full-year,hunt,age,2009,45-54,participants,156084,WI
full-year,hunt,age,2010,45-54,participants,151636,WI
full-year,hunt,age,2011,45-54,participants,150175,WI
full-year,hunt,age,2012,45-54,participants,149573,WI
full-year,hunt,age,2013,45-54,participants,144607,WI
full-year,hunt,age,2014,45-54,participants,136427,WI
full-year,hunt,age,2015,45-54,participants,133634,WI
full-year,hunt,age,2009,55-64,participants,102312,WI
full-year,hunt,age,2010,55-64,participants,104429,WI
full-year,hunt,age,2011,55-64,participants,107627,WI
